id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,price,house_age,years_since_renovation
7129300520,,3.0,1.0,7.074116816197362,8.639587799629844,1,0,0,3,7,,98178,47.5112,-122.257,7.201170883281678,8.639587799629844,12.309986615445005,70,
6414100192,,3.0,2.25,7.852050207265889,8.887790764195326,2,0,0,3,7,5.993961427306569,98125,47.721,-122.319,7.43307534889858,8.941152882160566,13.195615697878253,74,34
5631500400,,2.0,1.0,6.647688373563329,9.210440366976517,1,0,0,3,6,,98028,47.7379,-122.233,7.908754738783246,8.995040974685022,12.100717685412471,92,
2487200875,,4.0,3.0,7.581209826196346,8.517393171418904,1,0,0,5,7,6.814542897259958,98136,47.5208,-122.393,7.215975002651466,8.517393171418904,13.311331132544721,60,
1954400510,,3.0,2.0,7.427144133408616,8.997270906233448,1,0,0,3,8,,98074,47.6168,-122.045,7.496097345175956,8.92319149068606,13.1421679654829,38,
7237550310,,4.0,4.25,8.513385953073284,11.532051392768706,1,0,0,3,11,7.333676395657684,98053,47.6561,-122.005,8.314097335405807,11.532051392768706,14.018452218287162,24,
1321400060,,3.0,2.25,7.447751280047908,8.827614750837508,2,0,0,3,7,,98003,47.3097,-122.327,7.713784616598755,8.827614750837508,12.458778882573533,30,
2008000270,,3.0,1.5,6.966967138613983,9.181117513299279,1,0,0,3,7,,98198,47.4095,-122.315,7.409136443920128,9.181117513299279,12.583998677043747,62,
2414600126,,3.0,1.0,7.484930283289661,8.918784137975802,1,0,0,3,7,6.594413459749778,98146,47.5123,-122.337,7.484930283289661,9.001346243766392,12.343662665771719,65,
3793500160,,3.0,2.5,7.544861068658458,8.788898309344878,2,0,0,3,7,,98038,47.3684,-122.031,7.779466967458324,8.932080438103307,12.685410698175232,22,
1736800520,,3.0,2.5,8.177796683277778,9.189831495344642,1,0,0,3,8,7.415175109613295,98007,47.6007,-122.145,7.701200180857446,9.096723645189215,13.403777346275337,60,
9212900260,,2.0,1.0,7.057036981697891,8.699681400989514,1,0,0,4,7,5.707110264748875,98115,47.69,-122.292,7.193685818395112,8.699681400989514,13.056225711649638,83,
0114101516,,3.0,1.0,7.266128779556451,9.898575508175107,1,0,0,4,7,,98028,47.7558,-122.229,7.484930283289661,9.449199779730396,12.644330802262578,98,
6054650070,,3.0,1.75,7.223295679562314,9.177920480720072,1,0,0,4,7,,98074,47.6127,-122.045,7.223295679562314,9.231024963169016,12.899222326086994,48,
